,R1,R2,R3,R4,R5,R6,R7,R8
yecP,0.5322173253650642,0.5222530675332917,0.5227065659338088,0.5163385914874793,0.5053556740117031,0.4848131510609521,0.4945036525105407,0.5011708702081381
yigL,0.5388661437725888,0.524956004046401,0.5109660913762424,0.5166761213727206,0.5298547562201175,0.5198351033744618,0.5102199959799314,0.5158477802760805
yihS,0.031233197985085826,0.034465280284103485,0.03519745253648317,0.032113384678011635,0.03910549588193915,0.11388322329762607,0.055346693931306014,0.055515578934521234
yjhG,0.5286911290174325,0.5323929107533312,0.5205117751106396,0.5140453127402268,0.5065443426953908,0.4971257531328442,0.5072649688143329,0.5114486964129018
WT,0.6234039271454118,0.5941185103856155,0.6022481434340113,0.5849370474784011,0.5838664526754471,0.5672873730746697,0.5782894806671974,0.5538930880621121
alr,0.6079346636233247,0.5885050663519565,0.5829030720469603,0.5663529978963175,0.5661441376648221,0.5523075142934734,0.5466463040340803,0.5525209644312993
cbpM,0.6595236644013542,0.6301569485897865,0.613379402166804,0.6167024486187427,0.5971999443633255,0.5786283695081046,0.5761225412930806,0.5662852228752159
fixC,0.6225978253720726,0.592246126250182,0.5966389194355761,0.5891589042352533,0.5992330679711927,0.5746843396543664,0.5710903478518661,0.5928926356298404
hybG,0.6123383618974849,0.6054022776642685,0.5917262854869655,0.5792259231607337,0.5625197897207092,0.5622390787578533,0.5521169945810217,0.5505777058883246
hycA,0.5985269913407812,0.5750160197340453,0.5640442851092176,0.5517377242255809,0.546863695158043,0.5371352921494966,0.530208409017757,0.5362232884957987
nirC,0.6170341474086508,0.6014911299430975,0.5897005678360605,0.5851671154525296,0.566291772308342,0.5706937559104117,0.5504624710372795,0.5464584852785696
phnH,0.614443498342447,0.5965218264996279,0.5858255894574137,0.567069521098177,0.5655115112955496,0.5579530890641783,0.5662062152924437,0.5420065521558127
ybdA,0.5934086969165436,0.6015360167299904,0.5756396023272959,0.5588430252585198,0.5563307782840764,0.5501800043232787,0.5432732103521251,0.5324451187646972
ydcP,0.5594802352840014,0.5390142785266158,0.5473737801371708,0.5268058931393982,0.5254570448590031,0.5224372201077162,0.5134592208100583,0.4993664372500656
Rph,0.6479456692392739,0.6422596508893924,0.6434216269788188,0.63203653357447,0.6317663406389056,0.6273498937411354,0.6315868451891022,0.6240274384691653
WT,0.5164425278750104,0.5144253120746282,0.5012976544618324,0.4790474005828089,0.4666126178951839,0.4712172368987514,0.4767628665928671,0.4765509119132677
agaA,0.5190901616380742,0.5159944128910373,0.5127083787292046,0.5035535399677837,0.5059501311032972,0.5072062108809213,0.51077539204835,0.499253315993051
ldcC,0.5341486575917134,0.5182835840362763,0.5131218806565989,0.5127204312562438,0.4891824084816498,0.4832420545342061,0.4815769444565009,0.4808181468626046
lysC,0.5164096023743192,0.5086707438951977,0.5103404787437139,0.5088040891230389,0.5032385592432663,0.5070793734610612,0.5250743039374424,0.5120428509448043
nagZ,0.4942354640080077,0.494143500484395,0.4892934466107592,0.4779402014137135,0.4886176583641171,0.4827634282170956,0.4868255082686492,0.4816614031500682
osmy,0.5117811382262679,0.5079131622030929,0.5003240900165271,0.4875264002924725,0.4876569670301986,0.4711933931474711,0.4685273070965083,0.4438113366905912
